##x-axis,1,2,4
##second,Volt,Volt,Volt
#-6.20000E-06,,,
-6.17500E-06,+3.94599559770E+00,-24.96798046203E+00,+4.14410765E-03
-6.15000E-06,+3.95234069927E+00,-24.94860267696E+00,+4.18221885E-03
-6.12500E-06,+3.95547793542E+00,-24.95265127192E+00,+4.10836002E-03
-6.10000E-06,+3.94364052232E+00,-24.94216746088E+00,+4.15295222E-03
-6.07500E-06,+3.95491915764E+00,-24.95987648808E+00,+4.10876416E-03
-6.05000E-06,+3.94523669108E+00,-24.96022454642E+00,+3.95985800E-03
-6.02500E-06,+3.94636826699E+00,-24.96006274735E+00,+4.01825395E-03
-6.00000E-06,+3.95956712149E+00,-24.95171756351E+00,+4.02519609E-03
-5.97500E-06,+3.94442072325E+00,-24.94668456837E+00,+3.96663890E-03
-5.95000E-06,+3.94113781894E+00,-24.95736700068E+00,+3.99425601E-03
-5.92500E-06,+3.93226694829E+00,-24.94121068677E+00,+3.94873756E-03
-5.90000E-06,+3.94692840158E+00,-24.95015173442E+00,+3.88750043E-03
-5.87500E-06,+3.96301996570E+00,-24.96598117123E+00,+4.03541607E-03
-5.85000E-06,+3.93552369640E+00,-24.93305643564E+00,+3.99945436E-03
-5.82500E-06,+3.95583473762E+00,-24.96236321131E+00,+3.83754548E-03
-5.80000E-06,+3.97748811188E+00,-24.95428984086E+00,+3.97394647E-03
-5.77500E-06,+3.97363534920E+00,-24.96730786333E+00,+3.98704341E-03
-5.75000E-06,+3.94040518158E+00,-24.95908166380E+00,+3.89812697E-03
-5.72500E-06,+3.96138335659E+00,-24.97571432955E+00,+3.81523796E-03
-5.70000E-06,+3.95496849260E+00,-24.94177741695E+00,+3.86175167E-03
-5.67500E-06,+3.92553934060E+00,-24.96593537904E+00,+3.93631215E-03
-5.65000E-06,+3.93706193711E+00,-24.94750204376E+00,+3.86951917E-03
-5.62500E-06,+3.95687171402E+00,-24.93745094066E+00,+3.79490358E-03
-5.60000E-06,+3.93730250628E+00,-24.96102513712E+00,+3.74351245E-03
